epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
167,0.3631,1.7917,0.4116,0.2175,0.3261,0.4218,0.3556
168,0.3432,1.7825,0.4312,0.2216,0.3314,0.4278,0.3546
169,0.3765,1.4390,0.5363,0.2682,0.3883,0.4392,0.4002
170,0.3663,1.6780,0.4990,0.2389,0.3464,0.4522,0.3507
171,0.3519,1.6548,0.5039,0.2453,0.3631,0.3905,0.3865
172,0.3569,1.4689,0.5511,0.2622,0.3701,0.4267,0.3702
173,0.3666,1.9345,0.4695,0.1919,0.2756,0.3696,0.2859
174,0.3491,1.7858,0.4912,0.2370,0.3342,0.3613,0.3525
175,0.3070,1.6713,0.5020,0.2609,0.3759,0.4627,0.3691
176,0.3278,1.3935,0.5648,0.2922,0.4085,0.5061,0.4070
177,0.3475,2.0389,0.4175,0.2109,0.3129,0.3675,0.3380
178,0.3249,1.9203,0.4528,0.2164,0.3185,0.3638,0.3293
179,0.3534,1.4581,0.5383,0.2790,0.3993,0.4725,0.3971
180,0.3267,1.3853,0.5806,0.2685,0.3739,0.4038,0.3714
181,0.3059,1.3806,0.5707,0.2805,0.3917,0.4136,0.4025
182,0.3017,1.8041,0.4597,0.2327,0.3387,0.4026,0.3492
183,0.2803,1.5303,0.5413,0.2893,0.4014,0.4798,0.4054
184,0.3302,1.6669,0.5196,0.2572,0.3712,0.4173,0.3818
185,0.3520,1.6274,0.5521,0.2655,0.3853,0.4989,0.3994
186,0.2996,1.8483,0.4558,0.2214,0.3383,0.3780,0.3701
187,0.3087,1.6307,0.5059,0.2646,0.3823,0.4663,0.3973
188,0.2918,1.4448,0.5648,0.2645,0.3781,0.4318,0.3890
189,0.2682,1.6640,0.5206,0.2255,0.3234,0.3927,0.3424
190,0.2662,1.5400,0.5668,0.2831,0.3951,0.4310,0.3974
191,0.2656,1.5456,0.5393,0.2579,0.3714,0.3920,0.3980
192,0.2729,1.6561,0.5373,0.2644,0.3742,0.4138,0.3808
193,0.2666,1.7534,0.5138,0.2476,0.3581,0.3936,0.3803
194,0.2549,1.4810,0.5609,0.2753,0.3828,0.4251,0.3927
195,0.2971,1.4062,0.5845,0.3015,0.4176,0.4541,0.4134
196,0.2657,1.5108,0.5501,0.2816,0.3984,0.4481,0.4048
197,0.2798,1.8258,0.4676,0.2415,0.3457,0.4263,0.3609
198,0.2749,1.5310,0.5806,0.2681,0.3763,0.4279,0.3733
199,0.2643,1.2987,0.6090,0.3119,0.4318,0.4675,0.4415
200,0.2460,1.7526,0.4961,0.2528,0.3610,0.4030,0.3772
201,0.2375,1.6683,0.5373,0.2642,0.3803,0.4398,0.4014
202,0.2492,1.4177,0.5835,0.2932,0.4095,0.4799,0.4024
203,0.2549,1.5209,0.5747,0.2730,0.3752,0.4106,0.3795
204,0.2402,2.1232,0.4283,0.1920,0.2862,0.3550,0.3112
